binned_coordinates,updated_type,updated_subtype,hour,Count,type_subtype,longitude,latitude
"(-87.59, 41.66)",Accident,Minor,5,2,Accident - Minor,-87.59,41.66
"(-87.62, 41.85)",Accident,Minor,5,1,Accident - Minor,-87.62,41.85
"(-87.6, 41.69)",Accident,Minor,5,1,Accident - Minor,-87.6,41.69
"(-87.6, 41.68)",Accident,Minor,5,1,Accident - Minor,-87.6,41.68
"(-87.63, 41.84)",Accident,Minor,5,1,Accident - Minor,-87.63,41.84
"(-87.58, 41.66)",Accident,Minor,5,1,Accident - Minor,-87.58,41.66
"(-87.58, 41.65)",Accident,Minor,5,1,Accident - Minor,-87.58,41.65
"(-87.63, 41.78)",Accident,Minor,5,1,Accident - Minor,-87.63,41.78
"(-87.63, 41.82)",Accident,Minor,6,2,Accident - Minor,-87.63,41.82
"(-87.62, 41.9)",Accident,Minor,6,2,Accident - Minor,-87.62,41.9
"(-87.7, 41.83)",Accident,Minor,6,2,Accident - Minor,-87.7,41.83
"(-87.67, 41.88)",Accident,Minor,6,2,Accident - Minor,-87.67,41.88
"(-87.66, 41.84)",Accident,Minor,6,2,Accident - Minor,-87.66,41.84
"(-87.62, 41.72)",Accident,Minor,6,1,Accident - Minor,-87.62,41.72
"(-87.59, 41.66)",Accident,Minor,6,1,Accident - Minor,-87.59,41.66
"(-87.62, 41.86)",Accident,Minor,6,1,Accident - Minor,-87.62,41.86
"(-87.63, 41.83)",Accident,Minor,6,1,Accident - Minor,-87.63,41.83
"(-87.62, 41.88)",Accident,Minor,6,1,Accident - Minor,-87.62,41.88
"(-87.58, 41.65)",Accident,Minor,7,2,Accident - Minor,-87.58,41.65
"(-87.63, 41.81)",Accident,Minor,7,1,Accident - Minor,-87.63,41.81
"(-87.63, 41.85)",Accident,Minor,7,1,Accident - Minor,-87.63,41.85
"(-87.63, 41.8)",Accident,Minor,7,1,Accident - Minor,-87.63,41.8
"(-87.56, 41.66)",Accident,Minor,7,1,Accident - Minor,-87.56,41.66
"(-87.59, 41.66)",Accident,Minor,7,1,Accident - Minor,-87.59,41.66
"(-87.62, 41.9)",Accident,Minor,7,1,Accident - Minor,-87.62,41.9
"(-87.61, 41.85)",Accident,Minor,7,1,Accident - Minor,-87.61,41.85
"(-87.73, 41.82)",Accident,Minor,7,1,Accident - Minor,-87.73,41.82
"(-87.74, 41.96)",Accident,Minor,7,1,Accident - Minor,-87.74,41.96
"(-87.63, 41.91)",Accident,Minor,8,2,Accident - Minor,-87.63,41.91
"(-87.62, 41.73)",Accident,Minor,8,1,Accident - Minor,-87.62,41.73
"(-87.62, 41.74)",Accident,Minor,8,1,Accident - Minor,-87.62,41.74
"(-87.63, 41.8)",Accident,Minor,8,1,Accident - Minor,-87.63,41.8
"(-87.62, 41.91)",Accident,Minor,8,1,Accident - Minor,-87.62,41.91
"(-87.61, 41.85)",Accident,Minor,8,1,Accident - Minor,-87.61,41.85
"(-87.74, 41.87)",Accident,Minor,8,1,Accident - Minor,-87.74,41.87
"(-87.74, 41.82)",Accident,Minor,8,1,Accident - Minor,-87.74,41.82
"(-87.72, 41.87)",Accident,Minor,8,1,Accident - Minor,-87.72,41.87
"(-87.78, 41.79)",Accident,Minor,8,1,Accident - Minor,-87.78,41.79
"(-87.61, 41.71)",Accident,Minor,9,2,Accident - Minor,-87.61,41.71
"(-87.6, 41.68)",Accident,Minor,9,1,Accident - Minor,-87.6,41.68
"(-87.63, 41.84)",Accident,Minor,9,1,Accident - Minor,-87.63,41.84
"(-87.59, 41.66)",Accident,Minor,9,1,Accident - Minor,-87.59,41.66
"(-87.73, 41.95)",Accident,Minor,9,1,Accident - Minor,-87.73,41.95
"(-87.74, 41.82)",Accident,Minor,9,1,Accident - Minor,-87.74,41.82
"(-87.82, 41.98)",Accident,Minor,9,1,Accident - Minor,-87.82,41.98
"(-87.76, 41.97)",Accident,Minor,9,1,Accident - Minor,-87.76,41.97
"(-87.67, 41.92)",Accident,Minor,9,1,Accident - Minor,-87.67,41.92
